Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
746;20345;"Sydney law review, The";journal;"00820512";0,110;Q4;4;16;22;69;7;22;0,32;4,31;Australia;Pacific Region;"Faculty of Law, University of Sydney";"1990, 1999, 2001-2002, 2004, 2021-2022";"Law (Q4)";"Social Sciences"
747;21100845376;"Veredas do Direito";journal;"18063845, 21798699";0,110;Q4;4;0;101;0;12;94;0,13;0,00;Brazil;Latin America;"Editora Dom Helder";"2017-2021";"Law (Q4); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
748;21101060915;"Constitutional Review";journal;"25483870, 24600016";0,109;Q4;4;12;22;705;3;22;0,19;58,75;Indonesia;Asiatic Region;"Center for Research and Case Analysis and Library Management of the Constitutional Court of the Republic of Indonesia";"2015-2022";"Law (Q4)";"Social Sciences"
749;13818;"Cornell Journal of Law and Public Policy";journal;"10690565";0,109;Q4;12;0;12;0;6;12;0,00;0,00;United States;Northern America;"Joe Christensen, Inc.";"1993, 1997-2002, 2004-2007, 2009, 2011-2020";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
750;12100157012;"Maghreb - Machrek";journal;"22716815, 17623162";0,109;Q4;5;0;57;0;5;55;0,11;0,00;France;Western Europe;"Choiseul Editions";"1987, 1989-1990, 1994, 2007-2021";"Cultural Studies (Q3); History (Q3); Literature and Literary Theory (Q3); Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
751;21100786380;"Perspectives on Federalism";journal;"20365438";0,109;Q4;5;0;34;0;2;33;0,07;0,00;Italy;Western Europe;"Centro Studi Sul Federalismo";"2016-2021";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
752;21101059299;"Asian Journal of Legal Education";journal;"23482451, 23220058";0,108;Q4;3;16;38;0;6;37;0,13;0,00;United States;Northern America;"SAGE Publications Inc.";"2014-2022";"Development (Q4); Education (Q4); Law (Q4)";"Social Sciences"
753;75696;"Catholic University Law Review";journal;"00088390";0,108;Q4;11;15;72;2150;8;72;0,11;143,33;United States;Northern America;"Catholic University of America Press";"1973-1974, 1979, 1982, 1988, 1998-1999, 2002-2003, 2005-2022";"Religious Studies (Q3); Education (Q4); Law (Q4)";"Arts and Humanities; Social Sciences"
754;5600152882;"Cultures et Conflits";journal;"1157996X";0,108;Q4;6;8;58;356;8;56;0,13;44,50;France;Western Europe;"Editions l'Harmattan";"1997, 2016-2021";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
755;21101045764;"European Studies: The Review of European Law, Economics and Politics";journal;"24646695, 18058809";0,108;Q4;2;12;29;367;2;29;0,07;30,58;Czech Republic;Eastern Europe;"Czech Association for European Studies";"2020-2021";"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4); Political Science and International Relations (Q4)";"Economics, Econometrics and Finance; Social Sciences"
756;21100401127;"Global Journal of Comparative Law";journal;"2211906X, 22119051";0,108;Q4;6;10;34;360;20;33;0,73;36,00;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2022";"Law (Q4)";"Social Sciences"
757;13462;"Islamic Studies";journal;"05788072";0,108;Q4;2;14;54;50;11;52;0,15;3,57;Pakistan;Asiatic Region;"Islamic Research Institute";"1971, 1978, 1989, 2021-2022";"Religious Studies (Q3); Cultural Studies (Q4); Law (Q4)";"Arts and Humanities; Social Sciences"
758;21100945717;"Journal of the Ottoman and Turkish Studies Association";journal;"23760702, 23760699";0,108;Q4;1;0;118;0;16;105;0,14;0,00;United States;Northern America;"Indiana University Press";"2019-2021";"Cultural Studies (Q3); History (Q3); Religious Studies (Q3); Anthropology (Q4); Law (Q4)";"Arts and Humanities; Social Sciences"
759;146189;"Legal Ethics";journal;"1460728X, 17578450";0,108;Q4;13;3;22;0;3;18;0,13;0,00;United Kingdom;Western Europe;"Routledge";"1998-2022";"Law (Q4); Philosophy (Q4)";"Arts and Humanities; Social Sciences"
760;16175;"Medicine and Law";journal;"07231393";0,108;Q4;21;24;118;259;29;106;0,25;10,79;Israel;Middle East;"Yozmot Ltd";"1982-2022";"Health Policy (Q4); Law (Q4)";"Medicine; Social Sciences"
761;21100405752;"Studies in EU External Relations";book series;"18750451";0,108;Q4;6;0;49;0;0;4;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2008, 2010, 2012-2017, 2019-2020";"Law (Q4); Political Science and International Relations (Q4)";"Social Sciences"
762;13038;"Cleveland state law review";journal;"00098876";0,107;Q4;5;15;69;4338;9;69;0,14;289,20;United States;Northern America;"Cleveland State University";"1974-1975, 1980, 1982-1983, 1990, 1995, 1997, 1999, 2001, 2016-2022";"Law (Q4)";"Social Sciences"
763;13399;"Law Library Journal";journal;"00239283";0,107;Q4;18;0;38;0;7;37;0,10;0,00;United States;Northern America;"American Association of Law Libraries";"1978, 1987-2021";"Law (Q4); Library and Information Sciences (Q4)";"Social Sciences"
764;7200153169;"Legal History Review";journal;"00407585, 15718190";0,107;Q4;10;17;63;854;6;62;0,09;50,24;Netherlands;Western Europe;"Brill Academic Publishers";"1920-1927, 1929-1944, 1957-1958, 1963-1982, 1984-2022";"History (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
765;21101039070;"Montesquieu.it";journal;"24214124";0,107;Q4;1;7;23;105;1;21;0,00;15,00;Italy;Western Europe;"Dipartimento di Filosofia e Comunicazione, Universita di Bologna";"2019-2022";"History (Q3); Law (Q4); Philosophy (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
766;21101021411;"Regioni";journal;"2612050X, 03917576";0,107;Q4;2;12;146;318;4;124;0,03;26,50;Italy;Western Europe;"Societa Editrice Il Mulino";"2020-2021";"Law (Q4)";"Social Sciences"
767;29842;"ABA Journal";journal;"07470088";0,106;Q4;8;0;38;0;1;30;0,05;0,00;United States;Northern America;"American Bar Association";"1984-1987, 1993, 1996-1999, 2002-2014, 2016-2020";"Law (Q4)";"Social Sciences"
768;12669;"American Bankruptcy Law Journal";journal;"00279048";0,106;Q4;16;0;5;0;0;5;0,00;0,00;United States;Northern America;"National Conference of Bankruptcy Judges";"1996-2011, 2014-2019";"Business, Management and Accounting (miscellaneous) (Q4); Law (Q4)";"Business, Management and Accounting; Social Sciences"
769;13131;"Columbia Journal of Law and Social Problems";journal;"00101923";0,106;Q4;12;4;34;457;6;34;0,15;114,25;United States;Northern America;"Columbia Law Review Association";"1973, 1975-1976, 1978, 1980, 1985-1986, 1989-1990, 1992-2022";"Law (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Social Sciences"
770;21100862474;"Diritto and Questioni Pubbliche";journal;"18250173";0,106;Q4;4;0;103;0;10;101;0,09;0,00;Italy;Western Europe;"Universita di Palermo";"2017-2021";"Law (Q4)";"Social Sciences"
771;26299;"Harvard International Law Journal";journal;"00178063";0,106;Q4;47;0;5;0;1;5;0,00;0,00;United States;Northern America;"Harvard University";"1979, 1992, 1996-2019";"Law (Q4); Political Science and International Relations (Q4)";"Social Sciences"
772;26816;"International Lawyer";journal;"21696578, 00207810";0,106;Q4;4;0;65;0;6;65;0,13;0,00;United States;Northern America;"American Bar Association";"1977-1978, 2017-2020";"Law (Q4)";"Social Sciences"
773;21101045040;"Irish Judicial Studies Journal";journal;"27120317";0,106;Q4;1;7;6;228;1;5;0,17;32,57;Ireland;Western Europe;"The Irish Judicial Studies Journal";"2021-2022";"Law (Q4)";"Social Sciences"
774;21100924420;"Jerusalem Review of Legal Studies";journal;"22197117, 22197125";0,106;Q4;8;18;84;599;4;78;0,04;33,28;United States;Northern America;"Oxford University Press";"2010-2022";"Law (Q4)";"Social Sciences"
775;21100396355;"Osservatorio del Diritto Civile e Commerciale";journal;"22812628";0,106;Q4;2;15;58;474;5;58;0,08;31,60;Italy;Western Europe;"Societa Editrice Il Mulino";"2012-2021";"Law (Q4)";"Social Sciences"
776;21100901812;"Revista de Derecho Civil";journal;"23412216";0,106;Q4;5;0;101;0;25;98;0,25;0,00;Spain;Western Europe;"Notyreg Hispana, S.L.";"2018-2021";"Law (Q4)";"Social Sciences"
777;21100926582;"Vergentis";journal;"26053357, 24452394";0,106;Q4;1;0;37;0;4;37;0,17;0,00;Spain;Western Europe;"Iuris Universal Ediciones";"2019-2020";"History (Q3); Religious Studies (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
778;21101089572;"Zeitschrift fur Auslandisches Offentliches Recht und Volkerrecht";journal;"00442348";0,106;Q4;1;27;10;2556;1;5;0,10;94,67;Germany;Western Europe;"Nomos Verlagsgesellschaft mbH und Co";"2022";"Law (Q4)";"Social Sciences"
779;21100877177;"Journal of the National Academy of Forensic Engineers";journal;"23793244, 23793252";0,105;Q4;1;18;40;237;3;40;0,09;13,17;United States;Northern America;"National Academy of Forensic Engineers";"2016-2022";"Automotive Engineering (Q4); Building and Construction (Q4); Civil and Structural Engineering (Q4); Law (Q4); Pathology and Forensic Medicine (Q4); Safety, Risk, Reliability and Quality (Q4)";"Engineering; Medicine; Social Sciences"
780;21100886371;"Decyzje";journal;"2391761X, 17330092";0,104;Q4;2;0;34;0;6;33;0,06;0,00;Poland;Eastern Europe;"Kozminski University -Center of Economic Psychology and Decision Sciences";"2018-2021";"Decision Sciences (miscellaneous) (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4); Public Administration (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
781;21100901578;"Indonesian Journal of International and Comparative Law";journal;"2338770X, 23387602";0,104;Q4;2;9;56;0;4;46;0,08;0,00;Indonesia;Asiatic Region;"Institute for Migrant Rights Press";"2018-2022";"Cultural Studies (Q4); Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
782;21100813711;"Ragion Pratica";journal;"17202396";0,104;Q4;4;14;75;984;5;74;0,12;70,29;Italy;Western Europe;"Societa Editrice Il Mulino";"2016-2022";"Law (Q4); Philosophy (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
783;21101056812;"Revista Electronica de Ciencia Penal y Criminologia";journal;"16950194";0,104;Q4;2;0;42;0;9;42;0,14;0,00;Spain;Western Europe;"Jesus Barquin Universidad de Granada";"2021";"Law (Q4)";"Social Sciences"
784;21683;"University of Pittsburgh Law Review";journal;"00419915";0,104;Q4;17;18;80;1492;9;78;0,10;82,89;United States;Northern America;"University Library System, University of Pittsburgh";"1973-1975, 1977, 1979-1980, 1982, 1985, 1987, 1989, 1991, 1993-1994, 1996-2022";"Law (Q4)";"Social Sciences"
785;27715;"Anil Aggrawal's Internet Journal of Forensic Medicine and Toxicology";journal;"09728074, 09728066";0,103;Q4;11;3;13;66;1;13;0,00;22,00;India;Asiatic Region;"Anil Aggrawal";"2000-2020, 2022";"Law (Q4); Pathology and Forensic Medicine (Q4); Toxicology (Q4)";"Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
786;21100238636;"ATA Journal of Legal Tax Research";journal;"1543866X";0,103;Q4;2;3;9;213;2;9;0,33;71,00;United States;Northern America;"American Accounting Association";"2011-2016, 2018-2021";"Accounting (Q4); Finance (Q4); Law (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
787;21101057643;"Comparative Legilinguistics";journal;"20805926, 23914491";0,103;Q4;1;0;12;0;1;12;0,08;0,00;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2021";"Law (Q4); Linguistics and Language (Q4)";"Social Sciences"
788;21100856607;"Diritto Pubblico Comparato ed Europeo";journal;"17204313";0,103;Q4;4;7;178;667;9;161;0,06;95,29;Italy;Western Europe;"Societa Editrice Il Mulino";"2017-2022";"Law (Q4)";"Social Sciences"
789;21100784268;"International Human Rights Law Review";journal;"22131027, 22131035";0,103;Q4;7;11;35;190;8;35;0,29;17,27;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2022";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
790;19400158814;"Quebec Journal of International Law";journal;"08289999";0,103;Q4;4;53;71;34;1;48;0,00;0,64;Canada;Northern America;"Societe Quebecoise de Droit International";"2007-2022";"Law (Q4)";"Social Sciences"
791;21101028387;"Review of Economic Research on Copyright Issues";journal;"16981359, 16981367";0,103;Q4;1;0;10;0;1;10;0,13;0,00;Spain;Western Europe;"";"2020-2021";"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
792;19700167919;"Revue Internationale de Criminologie et de Police Technique et Scientifique";journal;"14244683";0,103;Q4;9;0;56;0;2;53;0,00;0,00;Switzerland;Western Europe;"Polymedia Meichtry SA";"2009-2020";"Law (Q4); Social Sciences (miscellaneous) (Q4)";"Social Sciences"
793;21100403807;"African Journal of Legal Studies";journal;"17087384, 22109730";0,102;Q4;11;15;64;365;6;61;0,06;24,33;Netherlands;Western Europe;"Brill Academic Publishers";"2004-2006, 2008-2009, 2011-2022";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
794;21101044879;"Anuario Espanol de Derecho Internacional Privado";journal;"15783138";0,102;Q4;2;0;17;0;4;17;0,24;0,00;Spain;Western Europe;"Iprolex";"2018, 2020";"Law (Q4)";"Social Sciences"
795;21101067142;"Archivio Giuridico Filippo Serafini";journal;"22822828, 03915646";0,102;Q4;1;0;66;0;1;62;0,00;0,00;Italy;Western Europe;"Mucchi Editore";"2021";"Law (Q4)";"Social Sciences"
796;15666;"Banking Law Journal";journal;"00055506";0,102;Q4;6;35;170;225;5;147;0,04;6,43;United States;Northern America;"Sheshunoff Information Services Inc.";"1996-2012, 2018-2022";"Business, Management and Accounting (miscellaneous) (Q4); Finance (Q4); Law (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
797;21101044733;"Canterbury Law Review";journal;"01120581";0,102;Q4;1;0;21;0;2;19;0,10;0,00;New Zealand;Pacific Region;"University of Canterbury";"2020-2021";"Law (Q4)";"Social Sciences"
798;21101062042;"Dikaion";journal;"01208942, 20275366";0,102;Q4;1;25;15;955;0;14;0,00;38,20;Colombia;Latin America;"Universidad de La Sabana";"2021-2022";"Law (Q4); Philosophy (Q4)";"Arts and Humanities; Social Sciences"
799;21101097079;"Estudios de Deusto";journal;"23869062, 04234847";0,102;Q4;3;31;106;744;12;106;0,12;24,00;Spain;Western Europe;"University of Deusto";"2022";"Law (Q4)";"Social Sciences"
800;12871;"Federal Register";journal;"00976326";0,102;Q4;58;1;310;0;3;178;0,03;0,00;United States;Northern America;"Office of the Federal Register";"1973-2022";"Law (Q4); Public Administration (Q4)";"Social Sciences"
801;21100903184;"German Yearbook of International Law";book series;"03443094, 21957304";0,102;Q4;5;51;48;0;4;31;0,14;0,00;Germany;Western Europe;"Duncker und Humblot GmbH";"2016-2022";"Law (Q4)";"Social Sciences"
802;21100943308;"Human Rights";journal;"24236489, 25386360";0,102;Q4;1;0;71;0;2;71;0,03;0,00;Iran;Middle East;"Mofid University - Center for Human Rights Studies";"2019-2021";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
803;21101057379;"International Comparative Jurisprudence";journal;"23516674";0,102;Q4;1;16;19;679;0;19;0,00;42,44;Lithuania;Eastern Europe;"Mykolo Romerio Universitetas";"2021-2022";"Law (Q4)";"Social Sciences"
804;19700187505;"International Journal of Private Law";journal;"17536243, 17536235";0,102;Q4;5;0;15;0;0;15;0,00;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2015, 2017-2021";"Law (Q4)";"Social Sciences"
805;5700153831;"Journal of Legal History";journal;"17440564, 01440365";0,102;Q4;15;13;40;0;5;36;0,11;0,00;United Kingdom;Western Europe;"Routledge";"1980-2022";"History (Q4); Law (Q4)";"Arts and Humanities; Social Sciences"
806;19700170140;"Journal of Shi'a Islamic Studies";journal;"17489423";0,102;Q4;6;0;17;0;0;17;0,00;0,00;United Kingdom;Western Europe;"ICAS Press";"2011-2019";"Cultural Studies (Q4); History (Q4); Law (Q4); Philosophy (Q4); Political Science and International Relations (Q4); Religious Studies (Q4)";"Arts and Humanities; Social Sciences"
807;17514;"Journal of Water Law";journal;"14785277";0,102;Q4;14;0;32;0;3;30;0,06;0,00;United Kingdom;Western Europe;"Lawtext Publishing Ltd.";"2000-2016, 2019-2021";"Law (Q4); Water Science and Technology (Q4)";"Environmental Science; Social Sciences"
808;21100858112;"Journal on European History of Law";journal;"20426402";0,102;Q4;2;43;119;57;13;115;0,08;1,33;United Kingdom;Western Europe;"STS Science Centre Ltd.";"2017-2022";"History (Q4); Law (Q4)";"Arts and Humanities; Social Sciences"
809;20905;"Kriminalistik";journal;"00234699";0,102;Q4;9;1;407;9;13;370;0,03;9,00;Germany;Western Europe;"Huthig GmbH";"1974-1983, 1996-2021";"Law (Q4)";"Social Sciences"
810;21100407201;"Legal History Library";book series;"18747493";0,102;Q4;2;0;26;0;0;16;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2008, 2010-2013, 2017, 2021";"Law (Q4); Political Science and International Relations (Q4)";"Social Sciences"
811;21100944726;"Millennium DIPr";journal;"24443220";0,102;Q4;1;3;20;80;1;20;0,00;26,67;Mexico;Latin America;"Tirant lo Blanch";"2019-2022";"Law (Q4)";"Social Sciences"
812;21101021434;"Politica del Diritto";journal;"00323063, 19738161";0,102;Q4;1;18;40;916;5;40;0,13;50,89;Italy;Western Europe;"Societa Editrice Il Mulino";"2020-2022";"Law (Q4)";"Social Sciences"
813;21100235613;"ACDI Anuario Colombiano de Derecho Internacional";journal;"20271131, 21454493";0,101;Q4;4;10;47;283;2;27;0,05;28,30;Colombia;Latin America;"Universidad del Rosario";"2012-2022";"Law (Q4)";"Social Sciences"
